,Best Params,Mean RMSLE,Refit Time
Best kNN ORIGINAL deleted,,,
Best kNN ORIGINAL mean,,,
Best kNN ORIGINAL to_0,,,
Best kNN PCA deleted,"{'p': 2, 'n_neighbors': 11}",0.9908,0.0081
Best kNN PCA mean,,,
Best kNN PCA to_0,,,
Best MLP ORIGINAL deleted,,,
Best MLP ORIGINAL mean,,,
Best MLP ORIGINAL to_0,,,
Best MLP PCA deleted,,,
Best MLP PCA mean,,,
Best MLP PCA to_0,,,
Best Decision Tree ORIGINAL deleted,,,
Best Decision Tree ORIGINAL mean,,,
Best Decision Tree ORIGINAL to_0,,,
Best Decision Tree PCA deleted,,,
Best Decision Tree PCA mean,,,
Best Decision Tree PCA to_0,,,
Best SVM ORIGINAL deleted,,,
Best SVM ORIGINAL mean,,,
Best SVM ORIGINAL to_0,,,
Best SVM PCA deleted,,,
Best SVM PCA mean,,,
Best SVM PCA to_0,,,
Best Random Forest ORIGINAL deleted,,,
Best Random Forest ORIGINAL mean,,,
Best Random Forest ORIGINAL to_0,,,
Best Random Forest PCA deleted,,,
Best Random Forest PCA mean,,,
Best Random Forest PCA to_0,,,
